,Original JPG,Binary PNG,IoU,Recall
2378,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 13.png,0.0,0.0
2379,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 05.png,0.18092234923137565,0.5318655851680185
2380,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 01.png,0.09337830640866324,0.5323886639676113
2381,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 11.png,0.0,0.0
2382,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 09.png,0.0,0.0
2383,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 19.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 19.png,0.11347047113470471,0.5516129032258065
2384,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 15.png,0.0,0.0
2385,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 07.png,0.0,0.0
2386,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 16.png,0.13180649684505727,0.5376549094375596
2387,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 02.png,0.1203073545554336,0.5786694825765576
2388,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 03.png,0.10818713450292397,0.49741468459152016
2389,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 14.png,0.0,0.0
2390,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 12.png,0.0,0.0
2391,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 06.png,0.1068384539147671,0.5614583333333333
2392,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 18.png,0.08348924228250701,0.3699481865284974
2393,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 11.png,0.0,0.0
2394,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 20.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 20.png,0.10640283740899757,0.5974842767295597
2395,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 06.png,0.11587893864013267,0.5475024485798237
2396,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 22.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 22.png,0.17543859649122806,0.583058305830583
2397,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 15.png,0.0,0.0
2398,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8 (3-19-2018 10-22-46 AM)/8 23.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/8.1/8 23.png,0.1056547619047619,0.5248152059134108
