,Original JPG,Binary PNG,IoU,Recall
36,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 07.png,0.037997519449768855,0.723175965665236
37,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 08.png,0.037997519449768855,0.723175965665236
38,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 18.png,0.0005501895097200147,0.009966777408637873
39,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 14.png,0.031123367852318777,0.632
40,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 13.png,0.029458328621508538,0.6165680473372781
42,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 02.png,0.028029445073612685,0.6635388739946381
43,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 05.png,0.0,0.0
44,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 11.png,0.027643555455669176,0.48520710059171596
45,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 01.png,0.028034168434328956,0.6277278562259306
46,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 10.png,0.0,0.0
