,Original JPG,Binary PNG,IoU,Recall
55,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 20.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 20.png,0.5521327014218009,0.4582104228121927
56,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 16.png,0.0,0.0
58,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 10.png,0.0,0.0
59,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 18.png,0.0,0.0
60,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 04.png,0.0,0.0
63,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 03.png,0.0,0.0
64,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 08.png,0.0,0.0
65,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 19.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 19.png,0.5777202072538861,0.5033860045146726
67,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 17.png,0.0,0.0
68,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 05.png,0.0,0.0
70,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 01.png,0.0,0.0
71,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 09.png,0.0,0.0
72,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 06.png,0.0,0.0
73,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 13.png,0.0,0.0
75,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 11.png,0.0,0.0
76,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 02.png,0.0,0.0
77,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 10.png,0.0,0.0
78,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 03.png,0.0,0.0
80,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 01.png,0.0,0.0
81,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 14.png,0.6425619834710744,0.4044213263979194
82,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 12.png,0.6222222222222222,0.3076923076923077
