,Original JPG,Binary PNG,IoU,Recall
38,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 18.png,0.003857280617164899,0.004429678848283499
39,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 14.png,0.2821685173089484,0.4937142857142857
40,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 13.png,0.24002616088947024,0.43431952662721895
42,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 02.png,0.24512534818941503,0.4718498659517426
43,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 05.png,0.0,0.0
44,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 11.png,0.2025989367985824,0.33826429980276135
45,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 01.png,0.23239012642986154,0.49550706033376124
46,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 10.png,0.0,0.0
47,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 03.png,0.2671232876712329,0.484472049689441
48,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 04.png,0.25728155339805825,0.45859085290482077
50,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 12.png,0.2403282532239156,0.4218106995884774
51,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 06.png,0.01361573373676248,0.04878048780487805
53,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 02.png,0.22033898305084745,0.4212962962962963
54,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 07.png,0.24177139437462597,0.44789356984478934
55,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 20.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 20.png,0.27605633802816903,0.48180924287118976
56,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 16.png,0.0,0.0
58,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 10.png,0.013968775677896467,0.024926686217008796
59,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 18.png,0.09051724137931035,0.11326860841423948
60,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 04.png,0.2255253716043055,0.5110336817653891
63,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 03.png,0.273678094131319,0.5395189003436426
64,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 08.png,0.2339422510312316,0.44160177975528364
65,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 19.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 19.png,0.23773394031360648,0.5304740406320542
67,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 17.png,0.0,0.0
68,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 05.png,0.2942643391521197,0.5863354037267081
70,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 01.png,0.2511655011655012,0.5029171528588098
71,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 09.png,0.0,0.0
72,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 06.png,0.27007299270072993,0.4723404255319149
73,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 13.png,0.2997711670480549,0.4734939759036145
75,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 11.png,0.19430485762144054,0.30933333333333335
76,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 02.png,0.238125,0.5176630434782609
77,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 10.png,0.0,0.0
78,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 03.png,0.2549647661755285,0.5429740791268759
80,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 01.png,0.2616060225846926,0.5574866310160428
81,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 14.png,0.25984251968503935,0.42912873862158646
82,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 12.png,0.22916666666666666,0.3384615384615385
83,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 06.png,0.058118081180811805,0.1590909090909091
84,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 05.png,0.0,0.0
85,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 04.png,0.346829640947288,0.5248554913294797
86,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3 (3-23-2018 1-44-39 PM)/3 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/3.1/3 08.png,0.0,0.0
87,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 18.png,0.09176029962546817,0.13636363636363635
88,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 03.png,0.2043887147335423,0.48656716417910445
89,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 08.png,0.22241379310344828,0.4484356894553882
90,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 11.png,0.38943731490621913,0.5246010638297872
91,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 24.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 24.png,0.2098360655737705,0.5245901639344263
92,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 10.png,0.27507447864945384,0.5134383688600556
93,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 25.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 25.png,0.16236786469344608,0.6
94,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 14.png,0.11789181692094314,0.07589285714285714
95,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 06.png,0.2053629823413996,0.435506241331484
96,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 26.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 26.png,0.1583101207056639,0.4963609898107715
97,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 01.png,0.18925831202046037,0.4277456647398844
98,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 05.png,0.19002375296912113,0.45584045584045585
99,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 20.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 20.png,0.2364406779661017,0.48186528497409326
100,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 07.png,0.20062893081761007,0.42363877822045154
101,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 16.png,0.19132029339853301,0.147502356267672
102,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 17.png,0.0008992805755395684,0.000945179584120983
103,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 21.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 21.png,0.20470383275261325,0.5026737967914439
104,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 15.png,0.018072289156626505,0.024657534246575342
105,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 22.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 22.png,0.18684461391801716,0.47002398081534774
106,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 12.png,0.46096816397732227,0.40937257939581717
107,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 04.png,0.18948734587929916,0.399452804377565
108,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 23.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 23.png,0.1685559388861508,0.4572192513368984
109,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 02.png,0.17670416942422237,0.37926136363636365
110,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 09.png,0.2568649885583524,0.47613997879109227
111,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 19.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 19.png,0.20407239819004525,0.34988363072148954
112,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4 (3-23-2018 1-45-22 PM)/4 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/4.1/4 13.png,0.44627054361567636,0.3401863154513331
113,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/1 (3-23-2018 1-45-15 PM)/1 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/1.1/1 09.png,0.26007636826474334,0.2961352657004831
114,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/1 (3-23-2018 1-45-15 PM)/1 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/1.1/1 13.png,0.10060142154182614,0.125426039536469
115,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/1 (3-23-2018 1-45-15 PM)/1 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/1.1/1 17.png,0.2797262617621899,0.49284099472494347
116,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/1 (3-23-2018 1-45-15 PM)/1 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/4/1.1/1 04.png,0.1262693156732892,0.3939393939393939
